Site,Zone,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,groups,x,xmin,xmax
GCW,TR,SO4_mM,10,20,45,67,1933.5,0.012,0.023,*,34.345960000000005,"c(""10"", ""20"")",2,1.7333333333333334,2
GCW,TR,SO4_mM,10,45,45,68,2250,2.44e-5,7.32e-5,****,49.9849,"c(""10"", ""45"")",2,1.7333333333333334,2.2666666666666666
GCW,TR,SO4_mM,20,45,67,68,2669,0.086,0.086,ns,65.62384,"c(""20"", ""45"")",2,2,2.2666666666666666
GCW,UP,SO4_mM,10,20,22,36,360,0.572,0.572,ns,11.21296,"c(""10"", ""20"")",3,2.7333333333333334,3
GCW,UP,SO4_mM,10,45,22,9,55,0.057,0.172,ns,26.8519,"c(""10"", ""45"")",3,2.7333333333333334,3.2666666666666666
GCW,UP,SO4_mM,20,45,36,9,99,0.076,0.172,ns,42.49084,"c(""20"", ""45"")",3,3,3.2666666666666666
GCW,WC,SO4_mM,10,20,54,54,1604,0.371,0.371,ns,42.991960000000006,"c(""10"", ""20"")",4,3.7333333333333334,4
GCW,WC,SO4_mM,10,45,54,53,2104,2.79e-5,8.37e-5,****,58.630900000000004,"c(""10"", ""45"")",4,3.7333333333333334,4.266666666666667
GCW,WC,SO4_mM,20,45,54,53,2048,1.22e-4,2.44e-4,***,74.26984,"c(""20"", ""45"")",4,4,4.266666666666667
GWI,TR,SO4_mM,10,20,65,66,2761,0.005,0.014,*,70.53496,"c(""10"", ""20"")",2,1.7333333333333334,2
GWI,TR,SO4_mM,10,45,65,55,1897,0.566,0.566,ns,86.1739,"c(""10"", ""45"")",2,1.7333333333333334,2.2666666666666666
GWI,TR,SO4_mM,20,45,66,55,1321,0.01,0.02,*,101.81284,"c(""20"", ""45"")",2,2,2.2666666666666666
GWI,UP,SO4_mM,10,20,68,69,1776.5,0.014,0.029,*,47.40996,"c(""10"", ""20"")",3,2.7333333333333334,3
GWI,UP,SO4_mM,10,45,68,45,1081.5,0.009,0.026,*,63.048899999999996,"c(""10"", ""45"")",3,2.7333333333333334,3.2666666666666666
GWI,UP,SO4_mM,20,45,69,45,1386,0.336,0.336,ns,78.68784,"c(""20"", ""45"")",3,3,3.2666666666666666
GWI,WC,SO4_mM,10,20,47,38,898,0.968,1,ns,97.73896,"c(""10"", ""20"")",4,3.7333333333333334,4
GWI,WC,SO4_mM,10,45,47,38,831,0.589,1,ns,113.37790000000001,"c(""10"", ""45"")",4,3.7333333333333334,4.266666666666667
GWI,WC,SO4_mM,20,45,38,38,621,0.298,0.894,ns,129.01684,"c(""20"", ""45"")",4,4,4.266666666666667
MSM,TR,SO4_mM,10,20,62,66,2711,0.002,0.005,**,53.718959999999996,"c(""10"", ""20"")",2,1.7333333333333334,2
MSM,TR,SO4_mM,10,45,62,65,2542,0.011,0.022,*,69.3579,"c(""10"", ""45"")",2,1.7333333333333334,2.2666666666666666
MSM,TR,SO4_mM,20,45,66,65,1898,0.256,0.256,ns,84.99683999999999,"c(""20"", ""45"")",2,2,2.2666666666666666
MSM,UP,SO4_mM,10,20,44,53,553,9.07e-6,9.07e-6,****,30.61796,"c(""10"", ""20"")",3,2.7333333333333334,3
MSM,UP,SO4_mM,10,45,44,61,280,5.43e-12,1.63e-11,****,46.2569,"c(""10"", ""45"")",3,2.7333333333333334,3.2666666666666666
MSM,UP,SO4_mM,20,45,53,61,779,1.98e-6,3.96e-6,****,61.89584,"c(""20"", ""45"")",3,3,3.2666666666666666
MSM,WC,SO4_mM,10,20,45,48,1286,0.114,0.114,ns,57.89596,"c(""10"", ""20"")",4,3.7333333333333334,4
MSM,WC,SO4_mM,10,45,45,33,1485,1.83e-22,3.66e-22,****,73.5349,"c(""10"", ""45"")",4,3.7333333333333334,4.266666666666667
MSM,WC,SO4_mM,20,45,48,33,1584,3.72e-23,1.1200000000000001e-22,****,89.17384,"c(""20"", ""45"")",4,4,4.266666666666667
SWH,SWAMP,SO4_mM,10,20,83,84,4217.5,0.019,0.019,*,15.244959999999999,"c(""10"", ""20"")",1,0.7333333333333333,1
SWH,SWAMP,SO4_mM,10,45,83,81,5039.5,3.41e-8,1.02e-7,****,30.8839,"c(""10"", ""45"")",1,0.7333333333333333,1.2666666666666666
SWH,SWAMP,SO4_mM,20,45,84,81,4493,3.75e-4,7.5e-4,***,46.52284,"c(""20"", ""45"")",1,1,1.2666666666666666
SWH,TR,SO4_mM,10,20,57,57,2275,2.29e-4,3.12e-4,***,18.96096,"c(""10"", ""20"")",2,1.7333333333333334,2
SWH,TR,SO4_mM,10,45,57,57,2960,3.61e-14,1.08e-13,****,34.5999,"c(""10"", ""45"")",2,1.7333333333333334,2.2666666666666666
SWH,TR,SO4_mM,20,45,57,57,2289.5,1.56e-4,3.12e-4,***,50.238839999999996,"c(""20"", ""45"")",2,2,2.2666666666666666
SWH,UP,SO4_mM,10,20,30,31,430,0.621,0.621,ns,14.674959999999999,"c(""10"", ""20"")",3,2.7333333333333334,3
SWH,UP,SO4_mM,10,45,30,31,654,0.006,0.012,*,30.313899999999997,"c(""10"", ""45"")",3,2.7333333333333334,3.2666666666666666
SWH,UP,SO4_mM,20,45,31,31,716,7.25e-4,0.002,**,45.952839999999995,"c(""20"", ""45"")",3,3,3.2666666666666666
SWH,WC,SO4_mM,10,20,53,53,1821.5,0.008,0.016,*,22.10596,"c(""10"", ""20"")",4,3.7333333333333334,4
SWH,WC,SO4_mM,10,45,53,53,1916,0.001,0.003,**,37.7449,"c(""10"", ""45"")",4,3.7333333333333334,4.266666666666667
SWH,WC,SO4_mM,20,45,53,53,1547.5,0.359,0.359,ns,53.38384,"c(""20"", ""45"")",4,4,4.266666666666667
